,word,freq,stream
763,1999,3,231820046.0
764,christmastime,1,403939487.0
765,edited,1,403939487.0
766,2011,2,1300475083.0
767,1984,1,481697415.0
768,machine,1,110073250.0
769,phoebe,1,110073250.0
770,bridgers,1,110073250.0
771,special,1,88092256.0
772,sos,1,191732632.0
773,open,2,635767395.0
774,arms,1,155653938.0
775,driving,2,332782738.5
776,home,3,256627454.33333334
777,2019,1,429504768.0
778,remaster,1,808219666.6
779,come,3,195179667.25
780,gone,3,182460279.33333334
781,f2f,1,67540165.0
782,notice,1,62019074.0
783,mitchell,1,295998468.0
784,ayres,1,295998468.0
785,orchestra,2,174863831.0
786,wish,1,261116938.0
787,antidepresan,1,136689549.0
788,wild,1,135611421.0
789,youjeen,1,135611421.0
790,hate,2,271130383.0
791,raindrops,1,110649992.0
792,insane,1,110649992.0
793,deck,1,127027715.0
794,hall,1,1143187201.0
795,smoking,1,57144458.0
796,ex,1,368725454.0
797,pack,1,57144458.0
798,conceited,1,56870689.0
799,maroon,1,317726339.0
800,tubarï,1,116144341.0
801,bejeweled,1,328207708.0
802,tarot,1,608228647.0
803,feel,2,279349736.0
804,shelton,1,180577478.0
805,desesperados,1,809306935.0
806,run,3,508452598.25
807,rudolph,1,245350949.0
808,bells,1,178660459.0
809,far,1,51641685.0
810,john,1,78139948.0
811,legend,1,714402150.0
812,gatï,1,322336177.0
813,ýýýabcdefu,1,1007612429.0
814,sacrifice,1,326792833.0
815,fingers,1,349585590.0
816,crossed,1,349585590.0
817,talk,5,528631823.1666667
818,bruno,1,432719968.0
819,pepas,1,1309887447.0
820,gasoline,1,116903579.0
821,infinity,1,888046992.0
822,zero,1,200660871.0
823,goï,1,88103848.0
824,tyler,1,88103848.0
825,cr,1,320551317.7826087
826,best,1,101114984.0
827,sza,1,1575467011.0
828,heard,1,91656026.0
829,married,1,91656026.0
830,need,1,1042568408.0
831,montero,1,1735441776.0
832,nwantiti,2,633688797.0
833,ah,3,298761875.8
834,dawn,1,53933526.0
835,fm,1,53933526.0
836,surface,1,267758538.0
837,pressure,1,267758538.0
838,starry,1,74601456.0
839,thats,1,920797189.0
840,weeknd,3,508765484.3333333
841,beggin,1,1367810478.0
842,mon,1,932219594.2727273
843,amour,1,578207856.0
844,lo,2,608583175.0444444
845,siento,1,775542072.0
846,bb,1,404461763.0
847,julieta,1,775542072.0
848,venegas,1,775542072.0
849,motto,1,656013912.0
850,moth,1,322687845.5
851,flame,1,611994237.0
852,traitor,1,1230855859.0
853,toxic,1,582981380.0
854,drivers,1,1858144199.0
855,license,1,1858144199.0
856,malvadï,1,240684449.0
857,minute,2,753940155.0
858,vault,1,583687007.0
859,break,2,456685353.0
860,oh,1,731689485.75
861,entre,1,236940480.0
862,nosotros,1,236940480.0
863,nicole,1,236940480.0
864,tale,1,41924466.0
865,quincy,1,41924466.0
866,medallo,1,393230256.0
867,ll,1,603847004.5714285
868,okay,1,287201015.0
869,softcore,1,599770206.0
870,gremlin,1,342779426.0
871,volvï,1,673801126.0
872,todo,1,1168642797.0
873,ti,2,587026829.1875
874,smokin,1,220347303.0
875,window,1,383550148.0
876,meet,1,530511203.0
877,spot,1,530511203.0
878,terrifying,1,37307967.0
879,tacones,1,510876816.0
880,rojos,1,510876816.0
881,daniel,1,1445941661.0
882,caesar,1,1445941661.0
883,giveon,1,1445941661.0
884,dakiti,1,1763363713.0
885,tiago,1,374191487.0
886,pzk,1,374191487.0
887,48,1,374191487.0
888,lï,3,292242192.4
889,nostï,1,436695353.0
890,½l,1,393220822.0
891,neiked,1,421040617.0
892,mae,1,421040617.0
893,muller,1,421040617.0
894,polo,1,421040617.0
895,sad,1,668851368.5
896,girlz,1,354065229.0
897,kali,1,354065229.0
898,uchis,1,354065229.0
899,butter,1,1143647827.0
900,pushin,1,311395144.0
901,deja,1,1256880657.0
902,vu,1,628441709.5
903,dynamite,1,1692897992.0
904,moon,2,521511884.6666667
905,lost,2,754487041.5
906,salimo,1,261414174.0
907,volando,1,610045621.0
908,leave,2,883806876.5
909,door,1,1115880852.0
910,knife,1,594482982.0
911,ft,2,440623662.2
912,project,1,594482982.0
913,pat,1,245345061.33333334
914,grows,1,0.0
915,rosemary,1,0.0
916,fama,1,374706940.0
917,family,2,372579949.0
918,madrigal,1,184937148.0
919,phantom,1,31959571.0
920,regret,1,31959571.0
921,jim,1,234362281.25
922,dos,2,612167786.25
923,oruguitas,1,167076418.0
924,freaks,1,824420218.0
925,acapulco,1,363467642.0
926,daddy,2,827250668.5
927,issues,1,1127468248.0
928,playing,1,60680939.0
929,mood,1,1699402402.0
930,iann,1,1699402402.0
931,dior,1,1699402402.0
932,crip,1,198883004.0
933,miserable,1,124407432.0
934,praise,1,376333030.0
935,yuh,1,516784627.0
936,sky,2,314325354.0
937,rolling,1,1472799873.0
938,deep,1,1472799873.0
939,sobrio,1,513643924.0
940,peru,1,261286503.0
941,favorite,1,783706581.0
942,crime,1,783706581.0
943,thunder,1,422691058.0
944,business,1,1062345656.0
945,positions,1,1252563873.0
946,slave,1,851070493.0
947,vai,1,263894529.0
948,casa,1,263894529.0
949,feels,2,346015727.0
950,heartbreak,1,951637566.0
951,anniversary,1,951637566.0
952,lie,1,697697623.5
953,charli,1,427486004.0
954,xcx,1,427486004.0
955,saweetie,1,427486004.0
956,pope,1,156658366.0
957,rockstar,1,156658366.0
958,2055,1,624515457.0
959,bored,1,777765388.0
960,astronaut,2,670955289.0
961,ocean,1,1138474110.0
962,ley,1,355219175.0
963,seca,1,355219175.0
964,sexy,1,489945871.0
965,cï,2,299293469.3333333
966,monkey,1,2864791672.0
967,lucid,1,2288695111.0
968,dreams,1,2288695111.0
969,smells,1,1690192927.0
970,teen,1,1690192927.0
971,spirit,2,931947531.0
972,2021,2,1029419894.5
